num,Country,population,year_change,net_change,density,land_area_km2,migrants,fertility_rate,Median_age,Urban_pop_pct,World_share
100,Israel ,8655535,0.016,136158,400,21640,10000,3,30,0.93,0.0011
99,Serbia ,8737371,-0.004,-34864,100,87460,4000,1.5,42,0.56,0.0011
98,Papua New Guinea ,8947024,0.0195,170915,20,452860,-800,3.6,22,0.13,0.0011
97,Austria ,9006398,0.0057,51296,109,82409,65000,1.5,43,0.57,0.0012
96,Belarus ,9449323,-0.0003,-3088,47,202910,8730,1.7,40,0.79,0.0012
95,Tajikistan ,9537645,0.0232,216627,68,139960,-20000,3.6,22,0.27,0.0012
94,Hungary ,9660351,-0.0025,-24328,107,90530,6000,1.5,43,0.72,0.0012
93,United Arab Emirates ,9890402,0.0123,119873,118,83600,40000,1.4,33,0.86,0.0013
92,Honduras ,9904607,0.0163,158490,89,111890,-6800,2.5,24,0.57,0.0013
91,Sweden ,10099265,0.0063,62886,25,410340,40000,1.9,41,0.88,0.0013
90,Azerbaijan ,10139177,0.0091,91459,123,82658,1200,2.1,32,0.56,0.0013
89,Portugal ,10196709,-0.0029,-29478,111,91590,-6000,1.3,46,0.66,0.0013
88,Jordan ,10203134,0.01,101440,115,88780,10220,2.8,24,0.91,0.0013
87,Greece ,10423054,-0.0048,-50401,81,128900,-16000,1.3,46,0.85,0.0013
86,Czech Republic (Czechia) ,10708981,0.0018,19772,139,77240,22011,1.6,43,0.74,0.0014
85,Dominican Republic ,10847910,0.0101,108952,225,48320,-30000,2.4,28,0.85,0.0014
84,South Sudan ,11193725,0.0119,131612,18,610952,-174200,4.7,19,0.25,0.0014
83,Cuba ,11326616,-0.0006,-6867,106,106440,-14400,1.6,42,0.78,0.0015
82,Haiti ,11402528,0.0124,139451,414,27560,-35000,3,24,0.57,0.0015
81,Belgium ,11589623,0.0044,50295,383,30280,48000,1.7,42,0.98,0.0015
80,Bolivia ,11673021,0.0139,159921,11,1083300,-9504,2.8,26,0.69,0.0015
79,Tunisia ,11818619,0.0106,123900,76,155360,-4000,2.2,33,0.7,0.0015
78,Burundi ,11890784,0.0312,360204,463,25680,2001,5.5,17,0.14,0.0015
77,Benin ,12123200,0.0273,322049,108,112760,-2000,4.9,19,0.48,0.0016
76,Rwanda ,12952218,0.0258,325268,525,24670,-9000,4.1,20,0.18,0.0017
75,Guinea ,13132795,0.0283,361549,53,245720,-4000,4.7,18,0.39,0.0017
74,Zimbabwe ,14862924,0.0148,217456,38,386850,-116858,3.6,19,0.38,0.0019
73,Somalia ,15893222,0.0292,450317,25,627340,-40000,6.1,17,0.47,0.002
72,Chad ,16425864,0.03,478988,13,1259200,2000,5.8,17,0.23,0.0021
71,Cambodia ,16718965,0.0141,232423,95,176520,-30000,2.5,26,0.24,0.0021
70,Senegal ,16743927,0.0275,447563,87,192530,-20000,4.7,19,0.49,0.0021
69,Netherlands ,17134872,0.0022,37742,508,33720,16000,1.7,43,0.92,0.0022
